año,provincia,ha_total,ha_bosque_nativo,fuente
2012,Entre Ríos,2423,1591,bqd_bninc_ha_año_2023
2012,Formosa,5959,,bqd_bninc_ha_año_2023
2012,Jujuy,8675,1503,bqd_bninc_ha_año_2023
2012,La Pampa,30202,14644,bqd_bninc_ha_año_2023
2012,La Rioja,391,6,bqd_bninc_ha_año_2023
2012,Mendoza,7006,260,bqd_bninc_ha_año_2023
2012,Misiones,2143,220,bqd_bninc_ha_año_2023
2012,Neuquén,16058,397,bqd_bninc_ha_año_2023
2012,Río Negro,3093,376,bqd_bninc_ha_año_2023
2012,Salta,1798,115,bqd_bninc_ha_año_2023
2012,San Juan,636,3,bqd_bninc_ha_año_2023
2012,San Luis,50201,5841,bqd_bninc_ha_año_2023
2012,Santa Cruz,20499,1000,bqd_bninc_ha_año_2023
2012,Santa Fe,2531,5,bqd_bninc_ha_año_2023
2012,Santiago del Estero,8970,5510,bqd_bninc_ha_año_2023
2012,Tierra del Fuego,2576,2575,bqd_bninc_ha_año_2023
2012,Tucumán,1992,58,bqd_bninc_ha_año_2023
2013,Buenos Aires,1968,38,bqd_bninc_ha_año_2023
2013,Catamarca,6507,159,bqd_bninc_ha_año_2023
2013,Chaco,8852,710,bqd_bninc_ha_año_2023
2013,Chubut,107,69,bqd_bninc_ha_año_2023
2013,Ciudad Autónoma de Buenos Aires,32,,bqd_bninc_ha_año_2023
2013,Corrientes,1103,154,bqd_bninc_ha_año_2023
2013,Córdoba,105179,25620,bqd_bninc_ha_año_2023
2013,Entre Ríos,11840,1185,bqd_bninc_ha_año_2023
2013,Formosa,11293,764,bqd_bninc_ha_año_2023
2013,Jujuy,32042,18308,bqd_bninc_ha_año_2023
2013,La Pampa,83360,44756,bqd_bninc_ha_año_2023
2013,La Rioja,506,,bqd_bninc_ha_año_2023
